specialite,zone_inscription,effectifs
Chirurgie vasculaire,Aube,0
Chirurgie viscerale et digestive,Aube,2
Dermatologie et venereologie,Aube,8
Endocrinologie et metabolisme,Aube,3
Genetique medicale,Aube,0
Geriatrie,Aube,1
Gynecologie medicale,Aube,10
Gynecologie-obstetrique,Aube,6
Hematologie,Aube,0
Gastro-enterologie et hepatologie,Aube,9
Medecine du travail,Aube,0
Medecine interne,Aube,0
Medecine nucleaire,Aube,0
Medecine physique et readaptation,Aube,0
Nephrologie,Aube,0
Neuro-chirurgie,Aube,0
Neurologie,Aube,2
O.R.L et chirurgie cervico faciale,Aube,6
Oncologie option medicale,Aube,0
Ophtalmologie,Aube,15
Pediatrie,Aube,5
Pneumologie,Aube,3
Psychiatrie,Aube,9
Radio-diagnostic et imagerie medicale,Aube,17
Radio-therapie,Aube,1
Reanimation medicale,Aube,0
Recherche medicale,Aube,0
Rhumatologie,Aube,4
Sante publique et medecine sociale,Aube,0
Generalistes,Aube,213
Medecine generale,Aube,213
Ensemble des specialites d'exercice,Aude,597
Specialistes,Aude,237
Anatomie et cytologie pathologiques,Aude,5
Anesthesie-reanimation,Aude,19
Biologie medicale,Aude,6
Cardiologie et maladies vasculaires,Aude,21
Chirurgie generale,Aude,6
Chirurgie maxillo-faciale et stomatologie,Aude,4
Chirurgie orthopedique et traumatologie,Aude,9
Chirurgie infantile,Aude,0
Chirurgie plastique reconstructrice et esthetique,Aude,1
Chirurgie thoracique et cardio-vasculaire,Aude,2
Chirurgie urologique,Aude,3
Chirurgie vasculaire,Aude,1
Chirurgie viscerale et digestive,Aude,3
Dermatologie et venereologie,Aude,12
Endocrinologie et metabolisme,Aude,3
Genetique medicale,Aude,0
Geriatrie,Aude,1
Gynecologie medicale,Aude,2
Gynecologie-obstetrique,Aude,7
Hematologie,Aude,0
Gastro-enterologie et hepatologie,Aude,10
Medecine du travail,Aude,0
Medecine interne,Aude,1
Medecine nucleaire,Aude,0
Medecine physique et readaptation,Aude,3
Nephrologie,Aude,3
Neuro-chirurgie,Aude,0
Neurologie,Aude,2
O.R.L et chirurgie cervico faciale,Aude,4
Oncologie option medicale,Aude,0
Ophtalmologie,Aude,24
Pediatrie,Aude,11
Pneumologie,Aude,6
Psychiatrie,Aude,16
Radio-diagnostic et imagerie medicale,Aude,40
Radio-therapie,Aude,2
Reanimation medicale,Aude,0
Recherche medicale,Aude,0
Rhumatologie,Aude,10
Sante publique et medecine sociale,Aude,0
Generalistes,Aude,360
Medecine generale,Aude,360
Ensemble des specialites d'exercice,Aude,610
Specialistes,Aude,237
Anatomie et cytologie pathologiques,Aude,6
Anesthesie-reanimation,Aude,17
Biologie medicale,Aude,6
Cardiologie et maladies vasculaires,Aude,19
Chirurgie generale,Aude,4
Chirurgie maxillo-faciale et stomatologie,Aude,7
Chirurgie orthopedique et traumatologie,Aude,10
Chirurgie infantile,Aude,0
Chirurgie plastique reconstructrice et esthetique,Aude,1
Chirurgie thoracique et cardio-vasculaire,Aude,2
Chirurgie urologique,Aude,3
Chirurgie vasculaire,Aude,1
Chirurgie viscerale et digestive,Aude,3
Dermatologie et venereologie,Aude,12
Endocrinologie et metabolisme,Aude,3
Genetique medicale,Aude,0
Geriatrie,Aude,1
Gynecologie medicale,Aude,2
Gynecologie-obstetrique,Aude,6
Hematologie,Aude,0
Gastro-enterologie et hepatologie,Aude,11
Medecine du travail,Aude,0
Medecine interne,Aude,1
Medecine nucleaire,Aude,0
Medecine physique et readaptation,Aude,2
Nephrologie,Aude,3
Neuro-chirurgie,Aude,0
Neurologie,Aude,2
O.R.L et chirurgie cervico faciale,Aude,4
Oncologie option medicale,Aude,0
Ophtalmologie,Aude,26
Pediatrie,Aude,12
Pneumologie,Aude,6
Psychiatrie,Aude,17
Radio-diagnostic et imagerie medicale,Aude,38
Radio-therapie,Aude,2
Reanimation medicale,Aude,0
Recherche medicale,Aude,0
Rhumatologie,Aude,10
Sante publique et medecine sociale,Aude,0
Generalistes,Aude,373
Medecine generale,Aude,373
Ensemble des specialites d'exercice,Aveyron,351
Specialistes,Aveyron,106
Anatomie et cytologie pathologiques,Aveyron,1
Anesthesie-reanimation,Aveyron,7
Biologie medicale,Aveyron,2
Cardiologie et maladies vasculaires,Aveyron,15
Chirurgie generale,Aveyron,3
Chirurgie maxillo-faciale et stomatologie,Aveyron,6
Chirurgie orthopedique et traumatologie,Aveyron,2
Chirurgie infantile,Aveyron,0
Chirurgie plastique reconstructrice et esthetique,Aveyron,0
Chirurgie thoracique et cardio-vasculaire,Aveyron,0
Chirurgie urologique,Aveyron,1
Chirurgie vasculaire,Aveyron,0
Chirurgie viscerale et digestive,Aveyron,0
Dermatologie et venereologie,Aveyron,6
Endocrinologie et metabolisme,Aveyron,4
Genetique medicale,Aveyron,0
Geriatrie,Aveyron,0
Gynecologie medicale,Aveyron,4
Gynecologie-obstetrique,Aveyron,0
Hematologie,Aveyron,0
Gastro-enterologie et hepatologie,Aveyron,2
Medecine du travail,Aveyron,1
Medecine interne,Aveyron,0
Medecine nucleaire,Aveyron,1
Medecine physique et readaptation,Aveyron,5
Nephrologie,Aveyron,0
Neuro-chirurgie,Aveyron,0
Neurologie,Aveyron,1
O.R.L et chirurgie cervico faciale,Aveyron,1
Oncologie option medicale,Aveyron,0
Ophtalmologie,Aveyron,14
Pediatrie,Aveyron,4
Pneumologie,Aveyron,2
Psychiatrie,Aveyron,4
Radio-diagnostic et imagerie medicale,Aveyron,13
Radio-therapie,Aveyron,0
Reanimation medicale,Aveyron,0
Recherche medicale,Aveyron,0
Rhumatologie,Aveyron,7
Sante publique et medecine sociale,Aveyron,0
Generalistes,Aveyron,245
Medecine generale,Aveyron,245
Ensemble des specialites d'exercice,Aveyron,378
Specialistes,Aveyron,120
Anatomie et cytologie pathologiques,Aveyron,1
Anesthesie-reanimation,Aveyron,7
Biologie medicale,Aveyron,3
Cardiologie et maladies vasculaires,Aveyron,16
Chirurgie generale,Aveyron,3
Chirurgie maxillo-faciale et stomatologie,Aveyron,7
Chirurgie orthopedique et traumatologie,Aveyron,3
Chirurgie infantile,Aveyron,0
Chirurgie plastique reconstructrice et esthetique,Aveyron,0
Chirurgie thoracique et cardio-vasculaire,Aveyron,0
Chirurgie urologique,Aveyron,1
Chirurgie vasculaire,Aveyron,0
Chirurgie viscerale et digestive,Aveyron,0
Dermatologie et venereologie,Aveyron,7
Endocrinologie et metabolisme,Aveyron,4
Genetique medicale,Aveyron,0
Geriatrie,Aveyron,0
Gynecologie medicale,Aveyron,6
Gynecologie-obstetrique,Aveyron,0
Hematologie,Aveyron,0
Gastro-enterologie et hepatologie,Aveyron,2
Medecine du travail,Aveyron,1
Medecine interne,Aveyron,0
Medecine nucleaire,Aveyron,1
Medecine physique et readaptation,Aveyron,6
Nephrologie,Aveyron,0
Neuro-chirurgie,Aveyron,0
Neurologie,Aveyron,1
O.R.L et chirurgie cervico faciale,Aveyron,1
Oncologie option medicale,Aveyron,0
Ophtalmologie,Aveyron,17
Pediatrie,Aveyron,5
Pneumologie,Aveyron,3
Psychiatrie,Aveyron,6
Radio-diagnostic et imagerie medicale,Aveyron,11
Radio-therapie,Aveyron,0
Reanimation medicale,Aveyron,0
Recherche medicale,Aveyron,0
Rhumatologie,Aveyron,8
Sante publique et medecine sociale,Aveyron,0
Generalistes,Aveyron,258
Medecine generale,Aveyron,258
Ensemble des specialites d'exercice,Bouches-du-Rhone,4858
Specialistes,Bouches-du-Rhone,2376
Anatomie et cytologie pathologiques,Bouches-du-Rhone,37
Anesthesie-reanimation,Bouches-du-Rhone,235
Biologie medicale,Bouches-du-Rhone,51
Cardiologie et maladies vasculaires,Bouches-du-Rhone,221
Chirurgie generale,Bouches-du-Rhone,51
Chirurgie maxillo-faciale et stomatologie,Bouches-du-Rhone,43
Chirurgie orthopedique et traumatologie,Bouches-du-Rhone,70
Chirurgie infantile,Bouches-du-Rhone,7
Chirurgie plastique reconstructrice et esthetique,Bouches-du-Rhone,41
Chirurgie thoracique et cardio-vasculaire,Bouches-du-Rhone,9
Chirurgie urologique,Bouches-du-Rhone,17
Chirurgie vasculaire,Bouches-du-Rhone,12
Chirurgie viscerale et digestive,Bouches-du-Rhone,9
Dermatologie et venereologie,Bouches-du-Rhone,137
Endocrinologie et metabolisme,Bouches-du-Rhone,35
Genetique medicale,Bouches-du-Rhone,0
Geriatrie,Bouches-du-Rhone,4
Gynecologie medicale,Bouches-du-Rhone,109
Gynecologie-obstetrique,Bouches-du-Rhone,84
Hematologie,Bouches-du-Rhone,1
Gastro-enterologie et hepatologie,Bouches-du-Rhone,60
Medecine du travail,Bouches-du-Rhone,10
Medecine interne,Bouches-du-Rhone,12
Medecine nucleaire,Bouches-du-Rhone,10
Medecine physique et readaptation,Bouches-du-Rhone,24
Nephrologie,Bouches-du-Rhone,24
Neuro-chirurgie,Bouches-du-Rhone,9
Neurologie,Bouches-du-Rhone,18
O.R.L et chirurgie cervico faciale,Bouches-du-Rhone,61
Oncologie option medicale,Bouches-du-Rhone,9
Ophtalmologie,Bouches-du-Rhone,189
Pediatrie,Bouches-du-Rhone,120
Pneumologie,Bouches-du-Rhone,51
Psychiatrie,Bouches-du-Rhone,303
Radio-diagnostic et imagerie medicale,Bouches-du-Rhone,226
Radio-therapie,Bouches-du-Rhone,12
Reanimation medicale,Bouches-du-Rhone,3
Recherche medicale,Bouches-du-Rhone,0
Rhumatologie,Bouches-du-Rhone,59
Sante publique et medecine sociale,Bouches-du-Rhone,3
Generalistes,Bouches-du-Rhone,2482
Medecine generale,Bouches-du-Rhone,2482
Ensemble des specialites d'exercice,Bouches-du-Rhone,4970
Specialistes,Bouches-du-Rhone,2451
Anatomie et cytologie pathologiques,Bouches-du-Rhone,38
Anesthesie-reanimation,Bouches-du-Rhone,239
Biologie medicale,Bouches-du-Rhone,69
Cardiologie et maladies vasculaires,Bouches-du-Rhone,223
Chirurgie generale,Bouches-du-Rhone,55
Chirurgie maxillo-faciale et stomatologie,Bouches-du-Rhone,44
Chirurgie orthopedique et traumatologie,Bouches-du-Rhone,71
Chirurgie infantile,Bouches-du-Rhone,6
Chirurgie plastique reconstructrice et esthetique,Bouches-du-Rhone,40
Chirurgie thoracique et cardio-vasculaire,Bouches-du-Rhone,9
Chirurgie urologique,Bouches-du-Rhone,20
Chirurgie vasculaire,Bouches-du-Rhone,11
Chirurgie viscerale et digestive,Bouches-du-Rhone,9
Dermatologie et venereologie,Bouches-du-Rhone,138
Endocrinologie et metabolisme,Bouches-du-Rhone,38
Genetique medicale,Bouches-du-Rhone,0
Geriatrie,Bouches-du-Rhone,4
Gynecologie medicale,Bouches-du-Rhone,116
Gynecologie-obstetrique,Bouches-du-Rhone,82
Hematologie,Bouches-du-Rhone,1
Gastro-enterologie et hepatologie,Bouches-du-Rhone,64
Medecine du travail,Bouches-du-Rhone,10
Medecine interne,Bouches-du-Rhone,14
Medecine nucleaire,Bouches-du-Rhone,7
Medecine physique et readaptation,Bouches-du-Rhone,25
Nephrologie,Bouches-du-Rhone,23
Neuro-chirurgie,Bouches-du-Rhone,8
Neurologie,Bouches-du-Rhone,20
O.R.L et chirurgie cervico faciale,Bouches-du-Rhone,60
Oncologie option medicale,Bouches-du-Rhone,10
Ophtalmologie,Bouches-du-Rhone,192
Pediatrie,Bouches-du-Rhone,130
Pneumologie,Bouches-du-Rhone,51
Psychiatrie,Bouches-du-Rhone,311
Radio-diagnostic et imagerie medicale,Bouches-du-Rhone,230
Radio-therapie,Bouches-du-Rhone,13
Reanimation medicale,Bouches-du-Rhone,3
Recherche medicale,Bouches-du-Rhone,0
Rhumatologie,Bouches-du-Rhone,64
Sante publique et medecine sociale,Bouches-du-Rhone,3
Generalistes,Bouches-du-Rhone,2519
Medecine generale,Bouches-du-Rhone,2519
Ensemble des specialites d'exercice,Calvados,1057
Specialistes,Calvados,380
Anatomie et cytologie pathologiques,Calvados,6
Anesthesie-reanimation,Calvados,45
Biologie medicale,Calvados,5
Cardiologie et maladies vasculaires,Calvados,29
Chirurgie generale,Calvados,14
Chirurgie maxillo-faciale et stomatologie,Calvados,8
Chirurgie orthopedique et traumatologie,Calvados,14
Chirurgie infantile,Calvados,0
Chirurgie plastique reconstructrice et esthetique,Calvados,2
Chirurgie thoracique et cardio-vasculaire,Calvados,1
Chirurgie urologique,Calvados,4
Chirurgie vasculaire,Calvados,3
Chirurgie viscerale et digestive,Calvados,4
Dermatologie et venereologie,Calvados,26
Endocrinologie et metabolisme,Calvados,4
Genetique medicale,Calvados,0
Geriatrie,Calvados,1
Gynecologie medicale,Calvados,11
Gynecologie-obstetrique,Calvados,15
Hematologie,Calvados,0
Gastro-enterologie et hepatologie,Calvados,10
Medecine du travail,Calvados,1
Medecine interne,Calvados,1
Medecine nucleaire,Calvados,1
Medecine physique et readaptation,Calvados,2
Nephrologie,Calvados,2
Neuro-chirurgie,Calvados,4
Neurologie,Calvados,2
O.R.L et chirurgie cervico faciale,Calvados,10
Oncologie option medicale,Calvados,1
Ophtalmologie,Calvados,45
Pediatrie,Calvados,18
Pneumologie,Calvados,4
Psychiatrie,Calvados,27
Radio-diagnostic et imagerie medicale,Calvados,49
Radio-therapie,Calvados,3
Reanimation medicale,Calvados,0
Recherche medicale,Calvados,0
Rhumatologie,Calvados,8
Sante publique et medecine sociale,Calvados,0
Generalistes,Calvados,677
Medecine generale,Calvados,677
Ensemble des specialites d'exercice,Calvados,1051
Specialistes,Calvados,380
Anatomie et cytologie pathologiques,Calvados,7
Anesthesie-reanimation,Calvados,45
Biologie medicale,Calvados,9
Cardiologie et maladies vasculaires,Calvados,29
Chirurgie generale,Calvados,14
Chirurgie maxillo-faciale et stomatologie,Calvados,9
Chirurgie orthopedique et traumatologie,Calvados,15
Chirurgie infantile,Calvados,0
Chirurgie plastique reconstructrice et esthetique,Calvados,2
Chirurgie thoracique et cardio-vasculaire,Calvados,1
Chirurgie urologique,Calvados,4
Chirurgie vasculaire,Calvados,4
Chirurgie viscerale et digestive,Calvados,4
Dermatologie et venereologie,Calvados,26
Endocrinologie et metabolisme,Calvados,4
Genetique medicale,Calvados,0
Geriatrie,Calvados,0
Gynecologie medicale,Calvados,10
Gynecologie-obstetrique,Calvados,17
Hematologie,Calvados,0
Gastro-enterologie et hepatologie,Calvados,11
Medecine du travail,Calvados,0
Medecine interne,Calvados,1
Medecine nucleaire,Calvados,1
Medecine physique et readaptation,Calvados,2
Nephrologie,Calvados,1
Neuro-chirurgie,Calvados,4
Neurologie,Calvados,2
O.R.L et chirurgie cervico faciale,Calvados,10
Oncologie option medicale,Calvados,0
Ophtalmologie,Calvados,43
Pediatrie,Calvados,18
Pneumologie,Calvados,4
Psychiatrie,Calvados,26
Radio-diagnostic et imagerie medicale,Calvados,48
Radio-therapie,Calvados,1
Reanimation medicale,Calvados,0
Recherche medicale,Calvados,0
Rhumatologie,Calvados,8
Sante publique et medecine sociale,Calvados,0
Generalistes,Calvados,671
Medecine generale,Calvados,671
Ensemble des specialites d'exercice,Cantal,205
Specialistes,Cantal,69
Anatomie et cytologie pathologiques,Cantal,2
Anesthesie-reanimation,Cantal,8
Biologie medicale,Cantal,0
Cardiologie et maladies vasculaires,Cantal,4
Chirurgie generale,Cantal,1
Chirurgie maxillo-faciale et stomatologie,Cantal,0
Chirurgie orthopedique et traumatologie,Cantal,4
Chirurgie infantile,Cantal,0
Chirurgie plastique reconstructrice et esthetique,Cantal,0
Chirurgie thoracique et cardio-vasculaire,Cantal,1
Chirurgie urologique,Cantal,2
Chirurgie vasculaire,Cantal,3
Chirurgie viscerale et digestive,Cantal,0
Dermatologie et venereologie,Cantal,4
Endocrinologie et metabolisme,Cantal,2
Genetique medicale,Cantal,0
Geriatrie,Cantal,1
Gynecologie medicale,Cantal,2
Gynecologie-obstetrique,Cantal,1
Hematologie,Cantal,0
Gastro-enterologie et hepatologie,Cantal,1
Medecine du travail,Cantal,0
Medecine interne,Cantal,1
Medecine nucleaire,Cantal,2
Medecine physique et readaptation,Cantal,0
Nephrologie,Cantal,1
Neuro-chirurgie,Cantal,0
Neurologie,Cantal,2
O.R.L et chirurgie cervico faciale,Cantal,1
Oncologie option medicale,Cantal,1
Ophtalmologie,Cantal,7
Pediatrie,Cantal,2
Pneumologie,Cantal,2
Psychiatrie,Cantal,3
Radio-diagnostic et imagerie medicale,Cantal,5
Radio-therapie,Cantal,2
Reanimation medicale,Cantal,1
Recherche medicale,Cantal,0
Rhumatologie,Cantal,3
Sante publique et medecine sociale,Cantal,0
Generalistes,Cantal,136
Medecine generale,Cantal,136
Ensemble des specialites d'exercice,Cantal,201
Specialistes,Cantal,66
Anatomie et cytologie pathologiques,Cantal,2
Anesthesie-reanimation,Cantal,7
Biologie medicale,Cantal,0
Cardiologie et maladies vasculaires,Cantal,4
Chirurgie generale,Cantal,1
Chirurgie maxillo-faciale et stomatologie,Cantal,0
Chirurgie orthopedique et traumatologie,Cantal,4
Chirurgie infantile,Cantal,0
Chirurgie plastique reconstructrice et esthetique,Cantal,0
Chirurgie thoracique et cardio-vasculaire,Cantal,0
Chirurgie urologique,Cantal,3
Chirurgie vasculaire,Cantal,2
Chirurgie viscerale et digestive,Cantal,0
Dermatologie et venereologie,Cantal,5
Endocrinologie et metabolisme,Cantal,2
Genetique medicale,Cantal,0
Geriatrie,Cantal,0
Gynecologie medicale,Cantal,3
Gynecologie-obstetrique,Cantal,0
Hematologie,Cantal,0
Gastro-enterologie et hepatologie,Cantal,1
Medecine du travail,Cantal,0
Medecine interne,Cantal,1
Medecine nucleaire,Cantal,2
Medecine physique et readaptation,Cantal,0
Nephrologie,Cantal,1
Neuro-chirurgie,Cantal,0
Neurologie,Cantal,2
O.R.L et chirurgie cervico faciale,Cantal,1
Oncologie option medicale,Cantal,1
Ophtalmologie,Cantal,7
Pediatrie,Cantal,2
Pneumologie,Cantal,2
Psychiatrie,Cantal,4
Radio-diagnostic et imagerie medicale,Cantal,5
Radio-therapie,Cantal,2
Reanimation medicale,Cantal,0
Recherche medicale,Cantal,0
Rhumatologie,Cantal,2
Sante publique et medecine sociale,Cantal,0
Generalistes,Cantal,135
Medecine generale,Cantal,135
Ensemble des specialites d'exercice,Charente,522
Specialistes,Charente,193
Anatomie et cytologie pathologiques,Charente,1
Anesthesie-reanimation,Charente,22
Biologie medicale,Charente,1
Cardiologie et maladies vasculaires,Charente,11
Chirurgie generale,Charente,3
Chirurgie maxillo-faciale et stomatologie,Charente,2
Chirurgie orthopedique et traumatologie,Charente,12
Chirurgie infantile,Charente,0
Chirurgie plastique reconstructrice et esthetique,Charente,1
Chirurgie thoracique et cardio-vasculaire,Charente,1
Chirurgie urologique,Charente,4
Chirurgie vasculaire,Charente,2
Chirurgie viscerale et digestive,Charente,1
Dermatologie et venereologie,Charente,12
Endocrinologie et metabolisme,Charente,1
Genetique medicale,Charente,0
Geriatrie,Charente,0
Gynecologie medicale,Charente,16
Gynecologie-obstetrique,Charente,5
Hematologie,Charente,0
Gastro-enterologie et hepatologie,Charente,9
Medecine du travail,Charente,0
Medecine interne,Charente,1
Medecine nucleaire,Charente,0
Medecine physique et readaptation,Charente,1
Nephrologie,Charente,0
Neuro-chirurgie,Charente,1
Neurologie,Charente,0
O.R.L et chirurgie cervico faciale,Charente,6
Oncologie option medicale,Charente,1
Ophtalmologie,Charente,22
Pediatrie,Charente,5
Pneumologie,Charente,6
Psychiatrie,Charente,20
Radio-diagnostic et imagerie medicale,Charente,21
Radio-therapie,Charente,2
Reanimation medicale,Charente,0
Recherche medicale,Charente,0
Rhumatologie,Charente,3
Sante publique et medecine sociale,Charente,0
Generalistes,Charente,329
Medecine generale,Charente,329
Ensemble des specialites d'exercice,Charente,521
Specialistes,Charente,202
Anatomie et cytologie pathologiques,Charente,1
Anesthesie-reanimation,Charente,23
Biologie medicale,Charente,4
Cardiologie et maladies vasculaires,Charente,11
Chirurgie generale,Charente,3
Chirurgie maxillo-faciale et stomatologie,Charente,2
Chirurgie orthopedique et traumatologie,Charente,11
Chirurgie infantile,Charente,0
Chirurgie plastique reconstructrice et esthetique,Charente,1
Chirurgie thoracique et cardio-vasculaire,Charente,1
Chirurgie urologique,Charente,5
Chirurgie vasculaire,Charente,2
Chirurgie viscerale et digestive,Charente,1
Dermatologie et venereologie,Charente,13
Endocrinologie et metabolisme,Charente,1
Genetique medicale,Charente,0
Geriatrie,Charente,0
Gynecologie medicale,Charente,16
Gynecologie-obstetrique,Charente,6
Hematologie,Charente,0
Gastro-enterologie et hepatologie,Charente,10
Medecine du travail,Charente,0
Medecine interne,Charente,0
Medecine nucleaire,Charente,0
Medecine physique et readaptation,Charente,3
Nephrologie,Charente,0
Neuro-chirurgie,Charente,1
Neurologie,Charente,0
O.R.L et chirurgie cervico faciale,Charente,7
Oncologie option medicale,Charente,1
Ophtalmologie,Charente,22
Pediatrie,Charente,5
Pneumologie,Charente,7
Psychiatrie,Charente,20
Radio-diagnostic et imagerie medicale,Charente,20
Radio-therapie,Charente,2
Reanimation medicale,Charente,0
Recherche medicale,Charente,0
Rhumatologie,Charente,3
Sante publique et medecine sociale,Charente,0
Generalistes,Charente,319
Medecine generale,Charente,319
Ensemble des specialites d'exercice,Charente-Maritime,1137
Specialistes,Charente-Maritime,396
Anatomie et cytologie pathologiques,Charente-Maritime,3
Anesthesie-reanimation,Charente-Maritime,30
Biologie medicale,Charente-Maritime,8
Cardiologie et maladies vasculaires,Charente-Maritime,30
Chirurgie generale,Charente-Maritime,10
Chirurgie maxillo-faciale et stomatologie,Charente-Maritime,8
Chirurgie orthopedique et traumatologie,Charente-Maritime,17
Chirurgie infantile,Charente-Maritime,0
Chirurgie plastique reconstructrice et esthetique,Charente-Maritime,4
Chirurgie thoracique et cardio-vasculaire,Charente-Maritime,1
Chirurgie urologique,Charente-Maritime,8
Chirurgie vasculaire,Charente-Maritime,4
Chirurgie viscerale et digestive,Charente-Maritime,2
Dermatologie et venereologie,Charente-Maritime,23
Endocrinologie et metabolisme,Charente-Maritime,3
Genetique medicale,Charente-Maritime,1
Geriatrie,Charente-Maritime,0
Gynecologie medicale,Charente-Maritime,27
Gynecologie-obstetrique,Charente-Maritime,11
Hematologie,Charente-Maritime,0
Gastro-enterologie et hepatologie,Charente-Maritime,18
Medecine du travail,Charente-Maritime,0
Medecine interne,Charente-Maritime,0
Medecine nucleaire,Charente-Maritime,5
Medecine physique et readaptation,Charente-Maritime,2
Nephrologie,Charente-Maritime,0
Neuro-chirurgie,Charente-Maritime,0
Neurologie,Charente-Maritime,7
O.R.L et chirurgie cervico faciale,Charente-Maritime,15
Oncologie option medicale,Charente-Maritime,0
Ophtalmologie,Charente-Maritime,41
Pediatrie,Charente-Maritime,14
Pneumologie,Charente-Maritime,5
Psychiatrie,Charente-Maritime,28
Radio-diagnostic et imagerie medicale,Charente-Maritime,47
Radio-therapie,Charente-Maritime,6
Reanimation medicale,Charente-Maritime,0
Recherche medicale,Charente-Maritime,0
Rhumatologie,Charente-Maritime,18
Sante publique et medecine sociale,Charente-Maritime,0
Generalistes,Charente-Maritime,741
Medecine generale,Charente-Maritime,741
Ensemble des specialites d'exercice,Charente-Maritime,1184
Specialistes,Charente-Maritime,419
Anatomie et cytologie pathologiques,Charente-Maritime,5
Anesthesie-reanimation,Charente-Maritime,31
Biologie medicale,Charente-Maritime,14
Cardiologie et maladies vasculaires,Charente-Maritime,31
Chirurgie generale,Charente-Maritime,7
Chirurgie maxillo-faciale et stomatologie,Charente-Maritime,8
Chirurgie orthopedique et traumatologie,Charente-Maritime,19
Chirurgie infantile,Charente-Maritime,0
Chirurgie plastique reconstructrice et esthetique,Charente-Maritime,4
Chirurgie thoracique et cardio-vasculaire,Charente-Maritime,1
Chirurgie urologique,Charente-Maritime,7
Chirurgie vasculaire,Charente-Maritime,4
Chirurgie viscerale et digestive,Charente-Maritime,2
Dermatologie et venereologie,Charente-Maritime,21
Endocrinologie et metabolisme,Charente-Maritime,3
Genetique medicale,Charente-Maritime,1
Geriatrie,Charente-Maritime,0
Gynecologie medicale,Charente-Maritime,29
Gynecologie-obstetrique,Charente-Maritime,12
Hematologie,Charente-Maritime,0
Gastro-enterologie et hepatologie,Charente-Maritime,18
Medecine du travail,Charente-Maritime,0
Medecine interne,Charente-Maritime,0
Medecine nucleaire,Charente-Maritime,5
Medecine physique et readaptation,Charente-Maritime,2
Nephrologie,Charente-Maritime,0
Neuro-chirurgie,Charente-Maritime,0
Neurologie,Charente-Maritime,8
O.R.L et chirurgie cervico faciale,Charente-Maritime,17
Oncologie option medicale,Charente-Maritime,0
Ophtalmologie,Charente-Maritime,42
Pediatrie,Charente-Maritime,14
Pneumologie,Charente-Maritime,9
Psychiatrie,Charente-Maritime,29
Radio-diagnostic et imagerie medicale,Charente-Maritime,51
Radio-therapie,Charente-Maritime,7
Reanimation medicale,Charente-Maritime,0
Recherche medicale,Charente-Maritime,0
Rhumatologie,Charente-Maritime,18
Sante publique et medecine sociale,Charente-Maritime,0
Generalistes,Charente-Maritime,765
Medecine generale,Charente-Maritime,765
Ensemble des specialites d'exercice,Cher,346
Specialistes,Cher,116
Anatomie et cytologie pathologiques,Cher,2
Anesthesie-reanimation,Cher,9
Biologie medicale,Cher,4
Cardiologie et maladies vasculaires,Cher,7
Chirurgie generale,Cher,7
Chirurgie maxillo-faciale et stomatologie,Cher,1
Chirurgie orthopedique et traumatologie,Cher,3
Chirurgie infantile,Cher,0
Chirurgie plastique reconstructrice et esthetique,Cher,2
Chirurgie thoracique et cardio-vasculaire,Cher,0
Chirurgie urologique,Cher,1
Chirurgie vasculaire,Cher,2
Chirurgie viscerale et digestive,Cher,2
Dermatologie et venereologie,Cher,4
Endocrinologie et metabolisme,Cher,0
Genetique medicale,Cher,0
Geriatrie,Cher,0
Gynecologie medicale,Cher,2
Gynecologie-obstetrique,Cher,2
Hematologie,Cher,0
Gastro-enterologie et hepatologie,Cher,5
Medecine du travail,Cher,0
Medecine interne,Cher,1
Medecine nucleaire,Cher,4
Medecine physique et readaptation,Cher,0
Nephrologie,Cher,0
Neuro-chirurgie,Cher,0
Neurologie,Cher,0
O.R.L et chirurgie cervico faciale,Cher,8
Oncologie option medicale,Cher,0
Ophtalmologie,Cher,6
Pediatrie,Cher,5
Pneumologie,Cher,1
Psychiatrie,Cher,11
Radio-diagnostic et imagerie medicale,Cher,20
Radio-therapie,Cher,2
Reanimation medicale,Cher,0
Recherche medicale,Cher,0
Rhumatologie,Cher,5
Sante publique et medecine sociale,Cher,0
Generalistes,Cher,230
Medecine generale,Cher,230
Ensemble des specialites d'exercice,Cher,359
Specialistes,Cher,120
Anatomie et cytologie pathologiques,Cher,2
Anesthesie-reanimation,Cher,9
Biologie medicale,Cher,4
Cardiologie et maladies vasculaires,Cher,6
Chirurgie generale,Cher,7
Chirurgie maxillo-faciale et stomatologie,Cher,2
Chirurgie orthopedique et traumatologie,Cher,4
Chirurgie infantile,Cher,0
Chirurgie plastique reconstructrice et esthetique,Cher,2
Chirurgie thoracique et cardio-vasculaire,Cher,0
Chirurgie urologique,Cher,1
Chirurgie vasculaire,Cher,1
Chirurgie viscerale et digestive,Cher,2
Dermatologie et venereologie,Cher,4
Endocrinologie et metabolisme,Cher,0
Genetique medicale,Cher,0
Geriatrie,Cher,0
Gynecologie medicale,Cher,3
Gynecologie-obstetrique,Cher,1
Hematologie,Cher,0
Gastro-enterologie et hepatologie,Cher,5
Medecine du travail,Cher,0
Medecine interne,Cher,1
Medecine nucleaire,Cher,4
Medecine physique et readaptation,Cher,0
Nephrologie,Cher,0
Neuro-chirurgie,Cher,0
Neurologie,Cher,0
O.R.L et chirurgie cervico faciale,Cher,7
Oncologie option medicale,Cher,0
Ophtalmologie,Cher,9
Pediatrie,Cher,6
Pneumologie,Cher,1
