prs_nat;l_prs_nat
2369;FORFAIT CONSOMMABLE MEDECINE NUCLEAIRE 15
2371;TARIF SOINS GIR 1 ET 2
2372;TARIF SOINS GIR 3 ET 4
2373;TARIF SOINS GIR 5 ET 6
2380;FORFAIT PSYCHIATRIE SEANCE COLL, 1 INTERVENANT 3 a 4H
2381;FORFAIT PSYCHIATRIE SEANCE IND, 1 INTERVENANT 3 a 4H
2382;FORFAIT PSYCHIATRIE SEANCE COLL, 2 INTERVENANTS 3 a 4H
2383;FORFAIT PSYCHIATRIE SEANCE IND. 2 INTERVENANTS 3 a 4H
2384;FORFAIT PSYCHIATRIE SEANCE COLL, 1 INTERVENANT 6 a 8H
2385;FORFAIT PSYCHIATRIE SEANCE IND. 1 INTERVENANT 6 a 8H
2386;FORFAIT PSYCHIATRIE SEANCE COLL, 2 INTERVENANT 6 a 8H
2387;FORFAIT PSYCHIATRIE SEANCE IND. 2 INTERVENANTS 6 a 8H
2388;FORFAIT PSYCHIATRIE DE SECURITE HOSPITALISATION SANS HEBERGEMENT
2389;PRISE EN CHARGE DE NUIT POUR UNE DUREE ENTRE 8 ET 12H
2391;FORFAIT TECHNIQUE TARIF REDUIT N?2
2392;FORFAIT TECHNIQUE TARIF REDUIT N?3
2411;INTERVENTION IVG
2412;ANESTHESIE GENERALE
2413;INVESTIGATIONS BIOLOGIQUES
2414;CONSULTATION IVG
2415;MEDICAMENTS: MIFEYGINE
2416;MEDICAMENTS: PROSTAGLANDINES
2417;VERIFICATION BIOLOGIQUE
2418;VERIFICATION ECHOGRAPHIQUE
2419;FORFAIT INTERVENTION AMBULATOIRE
2420;FORFAIT INTERVENTION DUREE < OU = 12 H PRIVE MEDIC
2421;INTERVENTION + ANESTHESIE AMBULATOIRE
2422;FORFAIT POUR IVG MEDICAMENTEUSE
2423;FORFAIT INTERVENTION AVEC NUITEE
2424;INTERVENTION + ANESTHESIE AVEC NUITEE
2425;FORFAIT IVG POUR 24H SUPPLEMENTAIRES - SECTEUR PRIVE/SECTEUR PUBLIC
2426;CONSULTATION IVG SPECIALISTE
2501;FORFAIT FIR PDSES PUBLIQUE
2502;FORFAIT FIR CENTRE DEPISTAGE ANONYME ET GRATUIT
2503;FORFAIT FIR CENTRE PERINATAUX DE PROXIMITE
2504;FORFAIT FIR EDUCATION THERAPEUTIQUE
3110;CONTRAT INCITATIF INFIRMIER
3111;ACTES EN AMI
3112;ACTES INFIRMIERS DE SOINS (AMI3-AMI13,AMI16)
3113;ACTES INFIRMIERS DES SAGES-FEMMES (SFI)
3114;PLAN DE SOINS INFIRMIER
3115;DEMARCHE INFIRMIER
3116;MAJORATION POUR ACTE UNIQUE
3117;MAJORATION DE COORDINATION ET D'ENVIRONNEMENT DE SOIN INFIRMIER
3118;REMUNERATION VACCINATION GRIPPE A PAR INFIRMIERS LIBERAUX
3119;REMUNERATION VACCINATION GRIPPE A PAR INFIRMIER RETRAITE OU SALARIE HORS OBLIGATIONS
3121;ACTES AMC
3122;ACTES EN AMK
3124;BILAN DE KINESITHERAPIE
3125;ACTES DE KINESITHERAPIE OSTEO-ARTICULAIRE
3126;CONTRAT DEMOGRAPHIQUE KINE
3131;ACTES DES PEDICURES
3132;ACTES DES ORTHOPHONISTES
3133;ACTES DES ORTHOPTISTES
3134;ACTE DE PEDICURE-PODOLOGUE (DIABETIQUE)
3139;CONTRAT INCITATIF ORTHOPHONISTE
3211;ACTES DE BIOLOGIE
3212;ACTES D ANATOMO-CYTO-PATHOLOGIE EN LABORATOIRE
3214;ACTES EN BR
3215;ANALYSE DEPISTAGE CANCER DE L'UTERUS
3221;PRELEVEMENT AUTRE QUE SANGUIN PAR UN DIRECTEUR DE LABORATOIRE
3222;PRELEVEMENT SANGUIN PAR UN DIRECTEUR DE LABORATOIRE
3223;PRELEVEMENT SANGUIN PAR UN TECHNICIEN DE LABORATOIRE
3224;PRELEVEMENT DEPISTAGE CANCER DE L'UTERUS
3225;PRELEVEMENT PAR PONCTION VEINEUSE DIRECTE POUR UN MEDECIN BIOLOGISTE
3311;PHARMACIE 100%
3312;PHARMACIE PH4
3313;PHARMACIE 65%
3314;HORMONE DE CROISSANCE
3315;MEDICAMENTS ANTIRETROVIRAUX
3316;MEDICAMENTS D EXCEPTION
3317;PHARMACIE HOSPITALIERE A 100%
3318;PHARMACIE HOSPITALIERE A 65%
3319;PHARMACIE HOSPITALIERE
3320;PHARMACIE HOSPITALIERE EN SUS DU GHS
3321;FORFAIT PHARMACEUTIQUE EN MATERNITE
3322;MAJORATION POUR ACHAT HORS HEURES OUVRABLES
3323;COPIE D ORDONNANCE
3324;ECART MEDICAMENT INDEMNISABLE
3325;MAJORATION PHARMACIE DES ILES
3326;PREPARATION MAGISTRALE REMBOURSABLE
3327;PREPARATION MAGISTRALE HOMEOPATHIQUE
3328;MEDICAMENTS HOMEOPATHIQUES UNITAIRES
3329;FORFAIT MEDICAMENT IVG VILLE
3331;VACCIN ANTI-GRIPPE
3332;VACCIN ROR
3333;ANTI PALUDEEN
3341;PHARMACIE 15%
3342;PREPARATION MAGISTRALE ALLOPATHIQUE 15 %
3343;PREPARATION MAGISTRALE ALLOPATHIQUE
3351;MEDICAMENT AVEC UNE AUTORISATION TEMPORAIRE D'UTILISATION
3352;PREPARATION MAGISTRALE HOSPITALIRE
3353;PREPARATION HOSPITALIERE
3354;MEDICAMENT AVEC AUTORISATION D'IMPORTATION
3355;MARGE FORFAITAIRE (MEDICAMENTS HOSPITALIERS)
3356;PHARMACIE HOSPITALIERE DEROGATOIRE
3357;PHARMACIE HOSPITALIERE MMH
3361;GARDE PHARMACIE NUIT
3362;GARDE PHARMACIE FERIE
3363;GARDE PHARMACIE DIMANCHE
3371;FORFAIT GRIPPE AVIAIRE (TAMIFLU)
3372;FORFAIT GRIPPE AVIAIRE (OSELTAMIVIR)
3373;FORFAIT GRIPPE AVIAIRE (RELENZA)
3374;KIT ANTI-GRIPPE
3375;REMUNERATION PHARMACIENS POUR VACCINS H1N1
3380;HONO DISP COMP
3381;PREPARATION PHARMACEUTIQUE INDIVIDUALISEE (ALLERGENES)
3382;PRISE EN CHARGE DEROGATOIRE PHARMACIE
3383;HONO DISP 1
3384;HONO DISP 2
3385;HONO DISP 4
3386;HONO DISP 7
3387;HONO DISP GC 1
3388;HONO DISP GC 2
3389;HONO DISP GC 4
3390;HONO DISP GC 7
3391;REMU OBJECTIF - PHARMACIEN
3392;REMU OBJECTIF - PHARMACIEN COMPLEMENT
3393;ROSP AVK
3394;ROSP AVK COMPLEMENT
3395;Plan personnalise de sante pharmacie
3399;REMUNERATION PHARMACIENS POUR VACCINS H1N1 - REGULARISATION COMPTABLE ET SAISIE MANUELLE
3411;SANG,PLASMA ET LEURS DERIVES
3412;TRANSPORT DU PRODUIT
3413;LAIT HUMAIN
3414;AUTRES PRODUITS D ORIGINE HUMAINE
3511;APPAREILS D ASSISTANCE RESPIRATOIRE,OXYGENOTHERAPIE A DOMICILE
3512;AUTRES MATERIELS POUR TRAITEMENTS A DOMICILE (CHAP. 1)
3513;MATERIELS ET APPAREILS DE CONTENTION ET DE MAINTIEN (CHAP. 2)
3514;MATERIELS ET APPAREILS POUR TRAITEMENTS DIVERS (CHAP. 3)
3515;ARTICLES DE PANSEMENTS (CHAP. 4)
3516;NUTRIMENTS POUR INTOLERANTS AU GLUTEN (CHAP. 3)
3517;ALIMENTS DESTINES A DES FINS MEDICALES
3518;APPAREIL GENERATEUR D AEROSOL
3521;ORTHESES (PETIT APPAREILLAGE) (CHAP. 1)
3522;DIVERS ORTHESES
3523;FORFAIT MONTURE MOINS DE 18 ANS CMU
3524;FORFAIT OPTIQUE ENFANT -A- MULTIFOCAUX (CMU)
3525;FORFAIT OPTIQUE ENFANT -B- MULTIFOCAUX (CMU)
3526;FORFAIT OPTIQUE -N? 6 MULTIFOCAUX (CMU)
3527;FORFAIT OPTIQUE -ENFANT-N? 1 UNIFOCAUX (CMU)
3528;FORFAIT OPTIQUE -ENFANT-N? 2 UNIFOCAUX (CMU)
3529;FORFAIT OPTIQUE -ENFANT-N? 3 UNIFOCAUX (CMU)
3530;FORFAIT OPTIQUE -ENFANT-N? 4 UNIFOCAUX (CMU)
3531;OPTIQUE MEDICALE PROPREMENT DIT
3532;MONTURE/LUNETTE POUR ENFANT DE - DE 18 ANS CRPCEN (HORS CODAGE LPP)
3533;VERRES
3534;REPARATION
3535;LENTILLES
3536;VERRES UNIFOCAUX OP1 (CMU)
3537;VERRES UNIFOCAUX OP2 (CMU)
3538;VERRES UNIFOCAUX OP3 (CMU)
3539;VERRES UNIFOCAUX OP4 (CMU)
3541;APPAREILS ELECTRONIQUES DE SURDITE (CHAP 3.)
3542;PROTHESES EXTERNES NON ORTHOPEDIQUES (CHAP. 4)
3543;PROTHESES OCULAIRES ET FACIALES (CHAP. 5)
3544;CHAUSSURES ORTHOPEDIQUES (CHAP. 6)
3545;ORTHOPROTHESES (CHAP 7.)
3546;ACCESSOIRES DE PROTHESES ET D ORTHOPEDIE (CENTRES D APPAR.) (CHAP.8)
3547;APPAREILS ELECTRONIQUES DE SURDITE (CONSOMMABLES Y.C. PILES)
3548;ORTHOPROTHESES COUTEUSES
3551;IMPLANT INTERNE (CHAP. 1, 2 ET 3)
3552;IMPLANT MU PAR ELECTRICITE (CHAP. 4)
3553;FORFAIT OPTIQUE -ENFANT-N? 5 UNIFOCAUX (CMU)
3554;FORFAIT OPTIQUE -ENFANT-N? 6 UNIFOCAUX (CMU)
3555;FORFAIT OPTIQUE -ENFANT-N? 7 UNIFOCAUX (CMU)
3556;FORFAIT OPTIQUE -ENFANT-N? 8 UNIFOCAUX (CMU)
3557;FORFAIT OPTIQUE -ENFANT-N? 9 UNIFOCAUX (CMU)
3561;VEHICULES POUR HANDICAPES PHYSIQUES
3571;FRAIS DE GESTION APPAREILLAGE
3572;ECART TIPS INDEMNISABLE
3573;FOURNITURE ET EQUIPEMENT DEROGATOIRES
3574;DISPOSITIF MEDICAL (PRISE EN CHARGE EXCEPTIONNELLE)
3575;COMPLEMENT AT 150% LPP
3576;PRESTATION PARTICULIERE ET PANDEMIE
3581;VERRES UNIFOCAUX OP5(CMU)
3582;VERRES UNIFOCAUX OP6(CMU)
3583;MONTURE (CMU)
3591;PRISE EN CHARGE DEROGATOIRE LPP
3610;SUPPLEMENT DEROGATOIRE SMG SUR PRESTATION PHARMACIE NON REMBOURSABLE (CNMSS)
3611;SUPPLEMENT DEROGATOIRE SMG SUR PRESTATION SANITAIRE NON REMBOURSABLE (CNMSS)
3612;SUPPLEMENT DEROGATOIRE SMG SUR PRESTATION SANITAIRE REMBOURSABLE (CNMSS)
4111;FORFAIT DE SURVEILLANCE MEDICALE 1ER HANDICAP
4112;FORFAIT DE SURVEILLANCE MEDICALE REDUIT 2EME HANDICAP
4113;PRATIQUES MEDICALES COMPLEMENTAIRES COTEES EN K
4114;COMPLEMENT SURVEILLANCE THERMALE
4121;FORFAITS EN ETABLISSEMENT (DATE FIN 12/98)
4122;SUPPLEMENTS THERMAUX 1ER HANDICAP (DATE FIN 12/98)
4123;SUPPLEMENTS THERMAUX 2EME HANDICAP (DATE FIN 12/98)
4131;FRAIS DE TRANSPORT - CURES THERMALES
4132;FRAIS D HOTEL - CURES THERMALES
4141;FORFAIT THERMAL 1
4142;FORFAIT THERMAL 2 AVEC KINESITEHRAPIE
4143;FORFAIT THERMAL 2EME ORIENTATION
4144;FORFAIT THERMAL 3 AVEC 9 SEANCES KINESITHERAPIE
4145;FORFAIT THERMAL 72 SEANCES AVEC KINE
4151;FORFAIT THERMAL 18 SEANCES COLLECTIVES
4152;FORFAIT THERMAL 18 SEANCES INDIVIDUELLES
4153;FORFAIT THERMAL 9 SEANCES COLLECTIVES
4154;FORFAIT THERMAL 9 SEANCES INDIVIDUELLES
4210;Taxi tarif A
4211;SERVICES MOBILES D URGENCE ET DE REANIMATION (SMUR)
4212;AMBULANCES AGREEES
4213;VEHICULES SANITAIRES LEGERS (VSL)
4214;TAXIS
4215;VEHICULES PERSONNELS
4216;TRANSPORT REEDUCATION PROFESSIONNEL
4217;Taxi tarif B
4218;Taxi tarif C
4219;AUTRES MODES DE TRANSPORT
4220;Taxi tarif D
4221;AMBULANCE AGREEE DE GARDE
4222;INDEMNITE DE GARDE AMBULANCIERE
4223;PART ASSOCIATION TRANSPORTEUR
4224;PRATIQUE DE GEO LOCALISATION PAR DISPOSITIF EMBARQUE
4225;FORFAIT TRANSPORT PARTAGE PAR 2 PERSONNES
4226;FORFAIT TRANSPORT PARTAGE PAR 3 PERSONNES
4227;CONTRAT D'AMELIORATION DE LA QUALITE ET DE LA COORDINATION DES SOINS
4228;CONTRAT D'AMELIORATION DE LA QUALITE ET DE LA COORDINATION DES SOINS COMPLEMENT
4229;Taxi tarif F
4311;FRAIS DE DEPLACEMENT - ENQU'TE LEGALE AT
4312;FRAIS DE DEPLACEMENT - COLLEGE 3 MEDECINS
4313;HONORAIRES
4314;ENQUETE
4315;AUTOPSIE
4316;EXPERTISE
4317;HONRAIRE COMITE REGIONAL RECONNAISANCE MP
4318;DEPLACEMENT COMITE REGIONAL RECONNAISSANCE MP
4319;DEPLACEMENT PERSONNE ENTENDUE (CRRMP)
4320;AVIS SAPITEUR
4321;FRAIS FUNERAIRES
4322;TRANSPORT DU CORPS
4323;INDEMNITE ALLOUEE EN REPARATION DES PREJUDICES EXTRA-PATRIMOMIAUX
4324;INDEMNITE DE CHANGEMENT D EMPLOI
4325;INDEMNITE COMPLEMENTAIRE POUR REEDUCATION PROFESSIONNELLE
4326;PRETIUM PULCHRITUDINIS
4327;PRETIUM SEXUALE
4328;PREJUDICE D'AGREMENT
4329;PREJUDICE PERTE OU DIMINUTION PROMOTION PROFESSIONNELLE
4330;PREJUDICES EXTRA PATRIMONIAUX - HORS IV
4331;REMBOURSEMENTS DE SOINS A L ETRANGER (ET1 A ET6 ET ET8 A ET9, ETB ETA, ETH, ETT, ETP, ETX )
4332;PREJUDICE AMIANTE
4339;REMBOURSEMENT DE SOINS
4341;FRAIS DE TUTELLE
4342;COTISATIONS A.T. EN CAS DE READAPTATION FONCTIONNELLE
4343;COTISATIONS A.T. EN CAS DE REEDUCATION PROFESSIONNELLE
4351;PRIME DE FIN DE REEDUCATION
4352;AUTRES PRESTATIONS DIVERSES
4353;INDEMNITE POUR PERTE DE SALAIRE (MALADIE, AT)
4359;FORFAIT UTILISATION DES TELESERVICES
4360;FORFAIT PARTICIPATION A LA TELETRANSMISSION
4361;FACTURATION FEUILLE DE SOINS (POUR INFORMATION)
4362;ASTREINTE MEDECIN (POUR INFORMATION)
4363;AIDE A LA FACTURATION FEUILLE DES FLUX NON SECURISES
4364;AIDE MAINTENANCE TELETRANSMISSION
4365;AIDE PORTABLE TELETRANSMISSION
4366;AIDE DEMARRAGE TELETRANSMISSION
4367;AIDE ADHESION RAPIDE DISPOSITIF
4368;FORFAIT STRUCTURE CENTRE DE SANTE
4369;FORFAIT PROFESSIONNEL DE SANTE CENTRE DE SANTE
4370;FORFAIT D'INCITATION FORFAITAIRE A LA NUMERISATION ET A LA TRANSMISSION
4371;FORFAIT DE SOINS MEDICALISES (REGIME DES MINISTRES DES CULTES ET DES MEMBRES CONGR. ET COLL.RELIGIEUSES)
4372;FORFAIT REPOS CONVALESCENCE (REGIME DES MINISTRES DES CULTES ET DES MEMBRES CONGR. ET COLL.RELIGIEUSES)
4373;EXAMEN DE SANTE
4375;AIDE OUTIL DE MISE A JOUR
4376;LIGNE TELEPHONIQUE DEDIEE
4377;PIED SUPPORT MATERIEL
4378;SUPPLEMENT OFFICINE DOM
4381;ACTES NON NOMENCLATURE
4382;PHARMACIE NON REMBOURSABLE
4391;RESPONSABILITE CIVILE PROFESSIONNELLE
4392;RESPONSABILITE CIVILE ECHOGRAPHIE OBSTETRICALE
4393;RESPONSABILITE CIVILE CHIRURGIE 1
4394;RESPONSABILITE CIVILE CHIRURGIE 2
4395;RESPONSABILITE CIVILE ANESTHESIE REANIMATION
4396;PRIME RESPONSABILITE SPECIALISTE
4397;PRIME ACCREDITATION SPECIALISTE
4411;AIDE SOCIALE
4412;DISPENSAIRES ANTITUBERCULEUX
4413;DISPENSAIRES ANTIVENERIENS
4414;HYGIENE MENTALE
4415;ETABLISSEMENTS DE LUTTE CONTRE LA TUBERCULOSE
4416;PROTECTION MATERNELLE ET INFANTILE
4417;AUTRES PARTICIPATIONS FORFAITAIRES NON INDIVIDUALISEES
4419;AUTRES DEPENSES NON INDIVIDUALISEES
4501;CONTROLES MEDICAUX (CLERCS ET EMPLOYES DE NOTAIRES)
4511;CAPITAL DECES
4611;FORFAIT DIVERS PAYES A LA STRUCTURE DE SOINS (FILIERES ET RESEAUX)
4612;FORFAIT D EDUCATION THERAPEUTIQUE ET D INTERESSEMENT (FILIERES ET RESEAUX)
5101;FORFAIT VERRES UNIFOCAUX OP1
5102;FORFAIT VERRES UNIFOCAUX OP2
5103;FORFAIT VERRES UNIFOCAUX OP3
5104;FORFAIT VERRES UNIFOCAUX OP4
5105;FORFAIT VERRES UNIFOCAUX OP5
5106;FORFAIT VERRES UNIFOCAUX OP6
5107;FORFAIT MONTURE CMU
5108;TM DU FORFAIT MONTURE MOINS DE 18 ANS CMU
5109;TM DU FORFAIT OPTIQUE -ENFANT-N? 1 UNIFOCAUX (CMU)
5110;TM DU FORFAIT OPTIQUE -ENFANT-N? 2 UNIFOCAUX (CMU)
5111;TM DU FORFAIT OPTIQUE -ENFANT-N? 3 UNIFOCAUX (CMU)
5112;TM DU FORFAIT OPTIQUE -ENFANT-N? 4 UNIFOCAUX (CMU)
5113;TM DU FORFAIT OPTIQUE -ENFANT-N? 5 UNIFOCAUX (CMU)
5114;TM DU FORFAIT OPTIQUE -ENFANT-N? 6 UNIFOCAUX (CMU)
5115;TM DU FORFAIT OPTIQUE -ENFANT-N? 7 UNIFOCAUX (CMU)
5116;TM DU FORFAIT OPTIQUE -ENFANT-N? 8 UNIFOCAUX (CMU)
5117;TM DU FORFAIT OPTIQUE -ENFANT-N? 9 UNIFOCAUX (CMU)
5118;TM DU FORFAIT OPTIQUE ENFANT -A- MULTIFOCAUX (CMU)
5119;TM DU FORFAIT OPTIQUE ENFANT -B- MULTIFOCAUX (CMU)
5120;TM DU FORFAIT OPTIQUE -N? 6 MULTIFOCAUX (CMU)
5201;FORFAIT PROTHESE DENTAIRE ADJOINTE
5202;FORFAIT REPARATION PROTHESE ADJOINTE
5203;FORFAIT PROTHESE DENTAIRE CONJOINTE
5204;FORFAIT ORTHODONTIE
5205;FORFAIT PROTHESE CONJOINTE (CMU HORS PANIER DE SOINS)
5206;FORFAIT ORTHODONTIQUE (CMU HORS PANIER DE SOINS)
5301;FORFAIT TIPS
5401;FORFAIT AUDIO-PROTHESE
6011;CARENCE -
6012;CARENCE +
6013;IJ CARENCE (CRPCEN)
6014;COMPLEMENT IJ >PLAFOND (CRPCEN)
6110;IJ NORMALES + 6MOIS
6111;IJ NORMALES -3 MOIS
6112;IJ NORMALES +3MOIS
6113;IJ REDUITES -3MOIS
6114;IJ REDUITES +3MOIS
6115;IJ MAJOREES -3MOIS
6116;IJ MAJOREES +3MOIS
6117;IJ PARTIELLE, PERTE DE SALAIRE -3MOIS
6118;IJ PARTIELLE, PERTE DE SALAIRE +3MOIS
6119;IJ MAJOREES + 6 MOIS
6120;INDEMNITE TEMPORAIRE D'INAPTITUDE AT/MP
6121;IJ PRENATALES
6122;IJ POSTNATALES
6123;IJ EN CAS D ADOPTION
6124;IJ CONGE SUPPLEMENTAIRE PREMA
6131;IJ NORMALES POUR CURE THERMALE
6132;IJ MAJOREES POUR CURE THERMALE
6133;IJ REDUITES POUR CURE THERMALE
6191;INDEMNITE DE NOURRITURE
6212;IJ CONGE MATERNITE AU PERE
6213;INDEMNITE DE REMPLACEMENT PATERNITE
6221;ALLOCATION REPOS MATERNEL NORMAL
6222;ALLOCATION REPOS MATERNEL ADOPTION
6231;INDEMNITE MATERNITE NORMALE
6232;INDEMNITE MATERNITE EN CAS D ADOPTION
6233;INDEMNITE MATERNITE EN CAS D ETAT PATHOLOGIQUE
6234;INDEMNITE MATERNITE EN CAS DE NAISSANCES MULTIPLES
6235;INDEMNITE DE REMPLACEMENT CONJOINTE COLLABORATRICE
6236;INDEMNITE PATERNITE PAMC
6237;INDEMNITE PATERNITE CONJOINT PAMC
6238;INDEMNITES PATERNITE CONJOINT INFIRMIER
6241;ALLOCATION ACCOMPAGNEMENT FIN DE VIE CESSATION ACTIVITE TEMPS PLEIN
6242;ALLOCATION ACCOMPAGNEMENT FIN DE VIE CESSATION ACTIVITE REDUITE
6251;ALLOCATION NUIT NORMALE - 3 MOIS
6252;ALLOCATION NUIT NORMALE + 3 MOIS
6253;ALLOCATION NUIT MAJOREE 3 ENFANTS - 3 MOIS
6254;ALLOCATION NUIT MAJOREE 3 ENFANTS + 3 MOIS
6255;ALLOCATION NUIT MAJOREE ARRET + 6 MOIS
6256;ALLOCATION NUIT MAJOREE ARRET + 6 MOIS ET 3 ENFANTS
6257;ALLOCATION EXPOSITION NORMALE - 3 MOIS
6258;ALLOCATION EXPOSITION NORMALE + 3 MOIS
6261;ALLOCATION EXPOSITION MAJOREE 3 ENFANTS - 3 MOIS
6262;ALLOCATION EXPOSITION MAJOREE 3 ENFANTS + 3 MOIS
6263;ALLOCATION EXPOSITION ARRET + 6 MOIS
6264;ALLOCATION EXPOSITION ARRET + 6 MOIS ET 3 ENFANTS
6311;RDS IJ MATERNITE
6312;RDS ALLOC MATERNITE
7111;PENSION INVALIDITE AVANTAGES DE BASE
7112;PENSION INVALIDITE ALLOCATIONS SUPPLEMENTAIRES
7113;PENSION INVALIDITE MAJORATIONS POUR ASSISTANCE D UNE TIERCE PERSONNE
7119;PENSIONS D INVALIDITE SERVIES PAR LE REGIME SPECIAL DE SECURITE SOCIALE DANS LES MINES
7201;COMPLEMENT SOCIAL INVALIDITE (CRPCEN)
8111;RENTES DE VICTIME
8112;MAJORATIONS POUR ASSISTANCE D UNE TIERCE PERSONNE
8113;RENTES DE CONJOINT SURVIVANT
8114;RENTES DE REVERSION
8115;RENTES D ORPHELIN
8116;RENTES D ASCENDANT
8117;MAJORATION FAUTE INEXCUSABLE RENTE ASCENDANT
8118;MAJORATION FAUTE INEXCUSABLE RENTE VICTIME
8119;MAJORATION FAUTE INEXCUSABLE RENTE CONJOINT
8120;MAJORATION FAUTE INEXCUSABLE RENTE ORPHELIN
8121;PRESTATION COMPLEMENTAIRE POUR RECOURS A TIERCE PERSONNE
8221;MAJORATIONS CRISTALLISEES
8222;RACHAT OBLIGATOIRE
8223;RACHAT FACULTATIF TOTAL
8224;RACHAT FACULTATIF PARTIEL
8225;TRANSFERT DE CAPITAUX
8226;INDEMNITE EN CAPITAL ACCIDENT DU TRAVAIL
8227;MAJORATION FAUTE INEXCUSABLE INDEMNITE EN CAPITAL
9111;COMPLEMENT TICKET MODERATEUR
9112;COMPLEMENT FRAIS DE TRANSPORT ET DE SEJOUR
9113;FRAIS OCCASIONNE PAR LE DON D ORGANES
9114;COMPLEMENT AUX FRAIS D HOSPITALISATION DE LA MERE QUI ALLAITE SON ENFANT
9115;PERTE DE SALAIRE POUR ENFANT MALADE
9116;INDEMNITES JOURNALIERES MATERNITE POUR CERTAINES CATEGORIES D ASSURES
9118;FRAIS FUNERAIRES
9119;COMPLEMENT POUR CURE THERMALE
9121;COMPLEMENT TICKET MODERATEUR POUR ENFANT DE MOINS D UN AN
9122;ALLOCATION DECES
9123;COMPLEMENT MALADIES CHRONIQUES ET MAINTIEN A DOMICILE
9129;INDEMNITES COMPLEMENTAIRES EN REEDUCATION PROFESSIONNELLE
9131;INDEMNITE DE PERTE DE SALAIRE Y COMPRIS DIALYSE A DOMICILE
9132;FRAIS DE DEPLACEMENT EN CURE THERMALE
9133;FRAIS D HEBERGEMENT EN CURE THERMALE
9134;PRIME DE FIN DE REEDUCATION PROFESSIONNELLE
9135;AIDE FINANCIERE EXCEPTIONNELLE (SECOURS)
9141;MAJORATION LIEE A UNE VISITE D URGENCE
9142;MAJORATION LIEE A UN K D URGENCE
9143;SUPPLEMENT POUR SOINS AUX POLYTRAUMATISES
9144;HONORAIRES REMUNERANT LA PERMANENCE TELEPHONIQUE SUR LA BASE DE 3 C DE L HEURE (ASTREINTE)
9151;PLAN SEGUIN
9152;PLAN EVIN
9161;PRESTATIONS SUPPLEMENTAIRES ALSACE-MOSELLE
9162;SURVEILLANCE MEDICALE MATERNELLE EN ACTION SANITAIRE ET SOCIALE
9163;CENTRE EXAMEN SANTE SAISIE MANUELLE
9164;PRESTATIONS D ASS SNCF ET REGIME GENERAL
9165;PRESTATIONS D ASS SNCF ET REGIME GENERAL
9166;PRESTATIONS D ASS SNCF ET REGIME GENERAL
9167;PRESTATIONS D ASS SNCF ET REGIME GENERAL
9168;PRESTATIONS D ASS SNCF ET REGIME GENERAL
9169;PRESTATIONS D ASS SNCF ET REGIME GENERAL
9170;PRESTATIONS D ASS SNCF ET REGIME GENERAL
9191;TICKET MODERATEUR - PREVENTION BUCCO-DENTAIRE
9211;VACCIN (MILITAIRES)
9221;TEST DE DEPISTAGE RAPIDE (FOURNISSEUR)
9311;DEPISTAGE DU CANCER COLO-RECTAL
9312;DEPISTAGE DU CANCER DU SEIN (PREVENTION MALADIE)
9313;FRAIS DE LECTURE POUR MAMMOGRAPHIE
9318;ANALYSES DEPISTAGE CANCER UTERUS (PREVENTION MALADIE)
9319;PRELEVEMENTS DEPISTAGE CANCER UTERUS (PREVENTION MALADIE)
9411;CONSULTATION HYGIENE BUCCO-DENTAIRE
9412;HYGIENE BUCCO-DENTAIRE N91 (SCELLEMENT D UNE MOLAIRE)
9413;HYGIENE BUCCO-DENTAIRE N92 (SCELLEMENT DE DEUX MOLAIRES)
9414;HYGIENE BUCCO-DENTAIRE N93 (SCELLEMENT DE TROIS MOLAIRES)
9415;HYGIENE BUCCO-DENTAIRE N94 (SCELLEMENT DE QUATRE MOLAIRES)
9421;PREVENTION BUCCO-DENTAIRE: CONSULTATION
9422;PREVENTION BUCCO-DENTAIRE: RADIO DEUX CLICHES
9423;PREVENTION BUCCO-DENTAIRE: RADIO QUATRE CLICHES
9424;PREVENTION BUCCO-DENTAIRE: RADIO EN IMAGERIE NUMERISEE
9425;TM POUR DC (MSA)
9426;TM POUR SC(MSA)
9427;TM POUR Z(MSA)
9429;CAMPAGNE BUCCO DENTAIRE MOCALES
9430;TM DE L'ACTE DE VACCINATION GRIPPE A/H1N1
9431;PREVENTION ENTRETIEN DE SANTE
9432;TM DES INDEMNITES DE DEPLACEMENTS ID et MD
9433;TM DE LA RETINOPATHIE DIABETIQUE
9511;EXAMEN ET BILAN DE SANTE
9512;AUTRES ACTIONS COLLECTIVES DE PREVENTION
9521;ACTES DE PREVENTION
9522;AUTRES EXAMENS MALADIE A 50 %
9523;AUTRES EXAMENS MALADIE A 70 %
9524;PARADONTOPATHIES A 50 %
9525;PARADONTOPATHIES A 70 %
9526;CONDUITE ADDICTIVE TABAC A 50 %
9527;CONDUITE ADDICTIVE TABAC A 70 %
9528;CONDUITE ADDICTIVE DROGUE A 50 %
9529;CONDUITE ADDICTIVE DROGUE A 70 %
9530;CONDUITE ADDICTIVE ALCOOL A 50 %
9531;CONDUITE ADDICTIVE ALCOOL A 70 %
9532;NUTRITION A 50 %
9533;NUTRITION A 70 %
9534;CANCER A 50 %
9535;CANCER A 70 %
9536;LANGAGE ET AUDITION A 50 %
9537;LANGAGE ET AUDITION A 70 %
9538;CANCER DE COL DE L'UTERUS A 50 %
9539;CANCER DE COL DE L'UTERUS A 70 %
9540;DEPISTAGE MELANOME A 50 %
9541;DEPISTAGE MELANOME A 70 %
