SPECIALITE,INSCRIPT,FRANCE ENTIERE,FRANCE M�tropolitaine,DOM-COM,Alsace-Champagne-Ardenne-Lorraine,Aquitaine-Limousin-Poitou-Charentes,Auvergne-Rh�ne-Alpes,Bourgogne-Franche-Comt�,Bretagne,Centre-Val de Loire,Corse,Guadeloupe,Guyane,Ile-de-France,La R�union,Languedoc-Roussillon-Midi-Pyr�n�es,Martinique,Mayotte,Nord-Pas-de-Calais-Picardie,Normandie,Pays de la Loire,Provence-Alpes-C�te d�Azur,01 - Ain,02 - Aisne,03 - Allier,04 - Alpes-de-Haute-Provence,05 - Hautes-Alpes,06 - Alpes-Maritimes,07 - Ard�che,08 - Ardennes,09 - Ari�ge,10 - Aube,11 - Aude,12 - Aveyron,13 - Bouches-du-Rh�ne,14 - Calvados,15 - Cantal,16 - Charente,17 - Charente-Maritime,18 - Cher,19 - Corr�ze,2A - Corse-du-Sud,2B - Haute-Corse,21 - C�te-d�Or,22 - C�tes-d�Armor,23 - Creuse,24 - Dordogne,25 - Doubs,26 - Dr�me,27 - Eure,28 - Eure-et-Loir,29 - Finist�re,30 - Gard,31 - Haute-Garonne,32 - Gers,33 - Gironde,34 - H�rault,35 - Ille-et-Vilaine,36 - Indre,37 - Indre-et-Loire,38 - Is�re,39 - Jura,40 - Landes,41 - Loir-et-Cher,42 - Loire,43 - Haute-Loire,44 - Loire-Atlantique,45 - Loiret,46 - Lot,47 - Lot-et-Garonne,48 - Loz�re,49 - Maine-et-Loire,50 - Manche,51 - Marne,52 - Haute-Marne,53 - Mayenne,54 - Meurthe-et-Moselle,55 - Meuse,56 - Morbihan,57 - Moselle,58 - Ni�vre,59 - Nord,60 - Oise,61 - Orne,62 - Nord-Pas-de-Calais,63 - Puy-de-D�me,64 - Pyr�n�es-Atlantiques,65 - Hautes-Pyr�n�es,66 - Pyr�n�es-Orientales,67 - Bas-Rhin,68 - Haut-Rhin,69 - Rh�ne,70 - Haute-Sa�ne,71 - Sa�ne-et-Loire,72 - Sarthe,73 - Savoie,74 - Haute-Savoie,75 - Paris,76 - Seine-Maritime,77 - Seine-et-Marne,78 - Yvelines,79 - Deux-S�vres,80 - Somme,81 - Tarn,82 - Tarn-et-Garonne,83 - Var,84 - Vaucluse,85 - Vend�e,86 - Vienne,87 - Haute-Vienne,88 - Vosges,89 - Yonne,90 - Territoire de Belfort,91 - Essonne,92 - Hauts-de-Seine,93 - Seine-Saint-Denis,94 - Val-de-Marne,95 - Val-d�Oise,971 - Guadeloupe,972 - Martinique,973 - Guyane,974 - La R�union,976 - Mayotte
Chirurgie orthop�dique et traumatologie,Lib�raux exclusifs,1690,1665,25,115,165,236,76,82,53,7,6,0,298,11,183,8,0,104,65,97,184,5,6,11,3,5,46,9,3,0,8,8,1,65,17,4,12,18,5,6,3,4,21,12,1,9,15,8,4,4,23,15,66,2,64,49,30,2,16,32,5,7,6,18,3,44,20,0,6,1,27,9,15,3,2,22,2,17,14,6,49,9,3,30,19,23,5,17,27,17,87,2,20,13,20,20,130,32,23,32,2,10,12,7,40,25,11,9,8,4,6,1,29,27,16,22,19,6,8,0,11,0
Chirurgie orthop�dique et traumatologie,Mixtes,728,718,10,76,64,88,25,24,19,2,2,1,168,2,62,5,0,66,26,30,68,7,11,4,2,3,14,1,1,2,4,2,6,29,6,3,4,4,3,0,0,2,6,3,2,4,4,6,0,3,6,8,10,0,16,20,6,1,7,12,2,6,1,5,2,10,4,2,7,1,6,3,6,2,3,13,4,9,15,2,25,8,4,14,2,6,2,4,19,8,30,0,5,5,7,9,78,13,9,17,6,8,4,1,15,5,6,5,4,4,6,0,10,16,8,14,16,2,5,1,2,0
Chirurgie orthop�dique et traumatologie,Salari�s hospitaliers,784,758,26,80,67,91,42,41,27,5,5,4,148,11,64,4,2,76,32,33,52,3,8,5,4,4,10,7,7,3,0,5,5,21,8,2,1,11,2,6,3,2,7,7,2,5,12,8,6,3,11,7,11,4,17,9,11,3,11,14,7,2,6,13,1,8,2,2,4,1,8,5,7,5,6,10,0,12,16,2,27,9,5,24,5,7,4,4,20,9,19,1,7,7,3,11,42,8,20,10,1,8,5,4,7,6,4,2,9,6,3,3,11,20,23,8,14,5,4,4,11,2
Chirurgie orthop�dique et traumatologie,Autres salari�s,39,38,1,2,2,4,1,1,1,0,1,0,5,0,9,0,0,8,2,0,3,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
Chirurgie infantile,Ensemble des modes d'exercice,312,297,15,25,20,36,12,17,8,2,3,0,68,8,23,4,0,23,13,14,36,0,0,0,0,0,10,0,0,0,2,0,0,23,3,0,0,0,0,1,0,2,5,3,0,0,7,2,0,0,6,1,11,0,12,11,8,0,4,6,0,0,0,5,0,7,4,0,0,0,5,0,6,0,0,3,0,0,2,0,10,1,0,3,5,1,0,0,6,6,17,0,0,2,0,1,32,10,0,1,0,9,0,0,1,2,0,4,2,0,0,0,1,5,9,16,4,3,4,0,8,0
Chirurgie infantile,Lib�raux exclusifs,43,43,0,5,8,4,0,0,0,1,0,0,7,0,7,0,0,1,1,1,8,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,3,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
Chirurgie infantile,Mixtes,75,75,0,6,3,8,5,6,2,0,0,0,15,0,4,0,0,6,7,3,10,0,0,0,0,0,3,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,1,2,0,1,1,5,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,2,1,7,0,0,1,0,0,10,5,0,1,0,2,0,0,0,2,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0
Chirurgie infantile,Salari�s hospitaliers,185,170,15,14,6,24,7,9,6,1,3,0,44,8,12,4,0,15,5,10,17,0,0,0,0,0,5,0,0,0,2,0,0,11,1,0,0,0,0,0,0,1,2,3,0,0,5,2,0,0,3,0,7,0,2,5,3,0,3,6,0,0,0,4,0,5,3,0,0,0,4,0,4,0,0,2,0,0,0,0,7,0,0,1,5,1,0,0,2,4,7,0,0,1,0,0,17,4,0,0,0,7,0,0,1,0,0,2,1,0,0,0,0,0,8,16,3,3,4,0,8,0
Chirurgie infantile,Autres salari�s,9,9,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chirurgie plastique reconstructrice et esth�tique,Ensemble des modes d'exercice,883,865,18,63,56,98,25,24,20,4,4,0,277,6,73,7,1,42,19,35,129,1,1,2,0,0,53,0,0,0,3,1,0,54,4,1,1,4,2,2,2,2,10,2,0,1,7,5,2,1,9,7,29,0,28,27,10,0,9,15,0,0,3,3,0,20,5,0,2,0,6,2,4,0,0,15,0,3,16,0,25,4,0,6,6,11,1,6,16,6,51,1,5,5,5,9,221,11,2,8,1,6,1,1,13,9,4,4,2,3,0,2,5,16,3,12,10,4,7,0,6,1
Chirurgie plastique reconstructrice et esth�tique,Lib�raux exclusifs,573,563,10,35,46,64,13,12,17,3,4,0,168,4,52,2,0,25,13,24,91,1,1,2,0,0,33,0,0,0,3,1,0,40,2,0,1,4,2,2,1,2,7,1,0,1,3,4,2,1,4,5,22,0,20,16,6,0,8,9,0,0,2,3,0,14,4,0,1,0,3,2,2,0,0,7,0,1,6,0,17,2,0,3,5,11,1,5,12,4,27,0,3,4,5,8,135,7,1,6,1,2,1,1,10,8,3,3,2,1,0,0,3,12,1,4,6,4,2,0,4,0
Chirurgie plastique reconstructrice et esth�tique,Mixtes,214,210,4,13,8,19,7,7,1,1,0,0,92,2,13,2,0,9,3,6,31,0,0,0,0,0,19,0,0,0,0,0,0,8,2,1,0,0,0,0,1,0,2,1,0,0,1,0,0,0,4,2,4,0,6,7,2,0,1,4,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,2,0,0,5,0,3,1,0,2,0,0,0,0,4,1,13,1,2,1,0,1,78,1,1,2,0,3,0,0,3,1,0,1,0,1,0,1,2,3,2,2,2,0,2,0,2,0
Chirurgie plastique reconstructrice et esth�tique,Salari�s hospitaliers,92,88,4,12,2,15,5,5,2,0,0,0,17,0,7,3,1,8,3,5,7,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,3,0,2,4,2,0,0,2,0,0,1,0,0,4,1,0,0,0,0,0,2,0,0,5,0,2,3,0,5,1,0,1,1,0,0,0,0,1,11,0,0,0,0,0,8,3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,6,2,0,3,0,0,1
Chirurgie plastique reconstructrice et esth�tique,Autres salari�s,4,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chirurgie thoracique et cardio-vasculaire,Ensemble des modes d'exercice,450,439,11,39,44,50,17,23,11,0,1,0,114,8,42,2,0,28,18,20,33,0,0,0,0,0,9,0,0,0,0,2,0,18,7,0,1,2,1,1,0,0,6,2,0,2,6,0,0,0,8,7,18,0,18,10,9,0,8,9,0,0,0,9,0,10,2,0,1,1,7,0,6,0,1,6,0,4,9,2,13,1,1,9,9,5,0,4,15,3,18,0,3,2,2,3,49,10,4,10,2,5,0,0,4,2,0,5,7,0,0,0,6,23,12,8,2,1,2,0,8,0
Chirurgie thoracique et cardio-vasculaire,Lib�raux exclusifs,124,122,2,9,13,14,1,4,3,0,1,0,31,1,19,0,0,9,2,3,14,0,0,0,0,0,3,0,0,0,0,1,0,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,6,5,0,0,3,2,0,0,0,3,0,2,0,0,1,0,1,0,2,0,0,1,0,1,1,0,5,1,0,3,0,3,0,2,4,1,7,0,1,0,1,1,4,1,2,7,0,0,0,0,1,0,0,0,1,0,0,0,5,8,5,0,0,1,0,0,1,0
Chirurgie thoracique et cardio-vasculaire,Mixtes,124,120,4,10,14,9,6,12,2,0,0,0,17,4,14,0,0,14,4,8,10,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,3,0,8,0,7,3,4,0,2,0,0,0,0,2,0,5,0,0,0,1,2,0,0,0,1,0,0,3,2,2,5,0,0,5,2,2,0,1,6,2,4,0,1,0,1,0,8,3,1,2,1,4,0,0,3,2,0,1,2,0,0,0,1,2,1,2,0,0,0,0,4,0
Chirurgie thoracique et cardio-vasculaire,Salari�s hospitaliers,195,190,5,20,17,26,10,7,6,0,0,0,64,3,7,2,0,4,12,9,8,0,0,0,0,0,4,0,0,0,0,0,0,4,5,0,0,0,1,1,0,0,3,0,0,2,6,0,0,0,2,2,2,0,5,2,5,0,3,7,0,0,0,3,0,3,2,0,0,0,4,0,4,0,0,5,0,0,6,0,3,0,1,0,7,0,0,1,5,0,7,0,1,2,0,2,36,6,1,1,1,1,0,0,0,0,0,4,4,0,0,0,0,13,5,6,2,0,2,0,3,0
Chirurgie thoracique et cardio-vasculaire,Autres salari�s,7,7,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chirurgie urologique,Ensemble des modes d'exercice,1228,1194,34,99,111,151,53,64,45,8,10,3,210,15,111,6,0,114,51,62,115,5,7,12,1,6,31,5,3,0,7,6,3,43,13,2,8,13,4,7,5,3,8,10,1,6,17,7,3,9,17,12,34,2,27,26,18,2,14,20,5,3,3,13,1,26,13,1,5,1,15,6,14,5,3,13,1,19,22,2,53,11,7,31,13,15,4,11,17,12,46,4,11,12,10,17,82,22,15,16,6,12,8,3,26,8,6,9,11,5,4,2,12,21,21,25,18,10,6,3,15,0
Chirurgie urologique,Lib�raux exclusifs,626,610,16,40,70,77,23,36,23,6,5,0,88,9,72,2,0,48,26,39,62,3,1,6,0,2,19,3,1,0,3,4,1,18,7,1,4,7,1,2,3,3,3,9,0,5,8,3,3,2,9,8,22,2,20,13,9,2,9,12,3,1,2,5,1,14,7,0,4,1,10,3,6,1,3,5,0,9,5,2,17,4,2,18,8,13,4,8,10,7,23,1,3,8,4,8,28,11,7,8,2,8,6,3,17,6,4,4,8,2,1,2,7,9,12,8,9,5,2,0,9,0
Chirurgie urologique,Mixtes,295,290,5,32,23,35,21,13,6,0,2,0,65,2,17,1,0,30,10,7,31,0,3,2,1,1,6,2,1,0,1,1,1,17,4,1,1,3,1,4,0,0,4,1,0,1,8,2,0,2,4,3,5,0,5,7,6,0,2,2,1,0,0,1,0,2,1,0,1,0,1,1,5,0,0,4,0,2,11,0,17,2,1,5,3,1,0,0,5,5,14,2,5,3,3,5,28,4,8,7,3,3,0,0,4,2,1,1,3,0,1,0,3,3,3,10,3,2,1,0,2,0
Chirurgie urologique,Salari�s hospitaliers,288,275,13,25,18,38,9,14,15,2,3,3,54,4,19,3,0,30,14,16,21,2,3,4,0,3,6,0,1,0,3,1,1,7,2,0,3,3,2,1,2,0,1,0,1,0,1,2,0,4,4,1,7,0,2,5,3,0,3,6,1,2,1,7,0,10,5,1,0,0,4,2,3,4,0,4,1,7,6,0,13,5,4,8,1,1,0,1,0,0,9,1,3,1,3,4,25,6,0,1,1,1,2,0,5,0,1,4,0,3,2,0,1,9,6,7,5,3,3,3,4,0
Chirurgie urologique,Autres salari�s,19,19,0,2,0,1,0,1,1,0,0,0,3,0,3,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Chirurgie vasculaire,Ensemble des modes d'exercice,542,530,12,45,51,77,18,28,20,3,4,0,79,6,46,2,0,40,26,34,63,4,2,6,1,0,13,3,1,0,5,4,1,28,9,4,2,7,5,3,2,1,6,5,0,4,8,0,0,3,7,5,11,1,18,11,9,1,4,6,0,2,2,9,1,11,5,2,3,0,10,2,6,0,1,10,0,7,4,0,22,2,1,9,7,4,2,4,5,10,27,0,2,6,5,5,36,14,1,7,4,5,4,1,16,5,6,4,0,4,0,2,5,11,6,6,7,4,2,0,6,0
Chirurgie vasculaire,Lib�raux exclusifs,250,245,5,13,29,38,10,13,11,2,1,0,34,3,21,1,0,14,13,15,32,1,0,3,1,0,7,2,0,0,1,1,0,11,4,2,2,4,3,1,1,1,3,3,0,0,5,0,0,1,2,2,7,1,10,5,7,0,2,2,0,1,2,2,0,6,3,0,3,0,4,1,2,0,0,4,0,1,0,0,4,1,1,5,2,3,2,0,1,2,19,0,1,3,2,3,11,7,0,5,3,4,2,1,11,2,2,2,0,3,0,1,2,7,2,4,3,1,1,0,3,0
Chirurgie vasculaire,Mixtes,125,124,1,13,11,15,5,5,2,0,0,0,23,1,8,0,0,11,4,10,17,3,2,1,0,0,4,1,1,0,1,1,0,10,1,1,0,2,0,0,0,0,1,2,0,3,3,0,0,0,1,1,3,0,4,1,1,0,2,0,0,1,0,4,1,5,0,0,0,0,2,1,1,0,1,2,0,1,3,0,6,0,0,2,2,0,0,1,1,3,0,0,1,0,0,2,14,2,0,1,0,1,1,0,1,2,2,1,0,1,0,0,2,1,2,1,2,0,0,0,1,0
Chirurgie vasculaire,Salari�s hospitaliers,158,152,6,19,11,24,3,9,6,1,3,0,21,2,15,1,0,12,9,9,13,0,0,2,0,0,2,0,0,0,3,2,1,7,4,1,0,1,1,2,1,0,2,0,0,1,0,0,0,2,4,1,1,0,4,5,1,1,0,4,0,0,0,3,0,0,2,2,0,0,4,0,3,0,0,4,0,4,1,0,10,0,0,2,3,1,0,2,3,5,8,0,0,3,3,0,10,5,1,1,1,0,1,0,3,1,2,1,0,0,0,1,1,3,2,1,2,3,1,0,2,0
Chirurgie vasculaire,Autres salari�s,9,9,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chirurgie visc�rale et digestive,Ensemble des modes d'exercice,1007,984,23,83,89,98,58,63,31,5,7,2,181,12,105,2,0,70,51,61,89,4,8,5,2,3,18,1,2,2,2,8,2,33,16,4,8,7,2,2,2,3,13,15,0,5,13,8,4,3,13,12,20,5,28,28,22,0,12,15,2,6,5,8,4,17,9,3,9,2,15,10,6,2,4,15,1,13,19,6,29,8,2,19,9,13,4,9,24,8,26,3,12,10,4,10,64,19,18,13,4,6,8,2,22,11,15,4,3,4,6,3,11,13,20,25,17,7,2,2,12,0
Chirurgie visc�rale et digestive,Lib�raux exclusifs,376,369,7,29,38,29,23,31,16,2,3,1,55,3,42,0,0,26,23,25,30,0,1,1,0,0,8,1,1,0,2,3,0,10,5,0,3,2,1,1,1,1,7,6,0,2,4,3,1,1,8,5,8,1,12,13,13,0,8,3,0,2,3,2,0,4,3,1,3,0,8,3,3,1,1,6,1,4,4,3,13,2,0,8,4,8,1,6,7,4,14,0,4,5,1,0,23,14,6,5,2,2,2,2,7,5,7,1,2,0,3,2,4,2,5,7,3,3,0,1,3,0
Chirurgie visc�rale et digestive,Mixtes,191,190,1,21,18,11,11,9,3,0,0,0,41,0,24,1,0,18,1,9,24,2,2,0,1,2,5,0,0,2,0,3,0,9,0,0,3,0,0,0,0,0,2,3,0,2,3,0,0,0,1,2,3,1,4,5,3,0,0,0,1,2,0,1,2,1,3,2,2,1,3,0,1,0,1,4,0,2,7,0,4,3,0,6,0,2,0,2,6,2,5,0,3,0,0,1,18,1,1,5,2,3,3,0,3,4,4,1,0,1,2,0,0,1,5,4,7,0,1,0,0,0
Chirurgie visc�rale et digestive,Salari�s hospitaliers,427,413,14,32,33,58,24,23,11,3,4,1,84,8,36,1,0,24,26,25,34,2,5,4,1,1,5,0,1,0,0,1,2,14,11,4,2,5,1,1,1,2,4,6,0,1,6,5,3,2,4,4,8,3,12,10,6,0,4,12,1,2,1,5,2,11,3,0,4,1,3,7,2,1,2,5,0,7,8,3,11,2,2,5,5,3,3,1,10,2,7,3,5,5,3,9,22,3,11,3,0,1,3,0,11,2,4,2,1,3,1,1,7,10,10,14,7,4,1,1,8,0
Chirurgie visc�rale et digestive,Autres salari�s,13,12,1,1,0,0,0,0,1,0,0,0,1,1,3,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dermatologie et v�n�r�ologie,Ensemble des modes d'exercice,4003,3932,71,291,347,418,137,163,114,14,12,11,1089,30,368,18,0,242,148,163,438,14,16,13,6,8,132,11,7,4,10,16,7,202,40,7,13,27,5,8,10,4,46,17,1,18,47,20,17,13,52,43,138,5,144,99,64,5,53,70,3,16,8,40,5,77,30,3,11,1,40,17,36,6,8,56,5,30,42,5,135,19,8,47,39,49,10,18,80,37,141,8,17,20,19,39,504,66,46,94,9,25,20,4,66,24,18,28,23,12,7,4,64,145,65,106,65,12,18,11,30,0
Dermatologie et v�n�r�ologie,Lib�raux exclusifs,2580,2534,46,201,251,281,77,117,78,14,10,3,574,24,276,9,0,146,100,111,308,11,12,9,6,6,91,10,6,3,6,11,6,125,26,3,12,21,3,4,10,4,23,11,1,14,26,16,13,9,35,31,101,5,100,71,49,5,37,55,3,13,4,21,2,57,20,3,9,1,22,16,24,4,4,33,4,22,31,4,80,14,3,29,25,43,9,16,59,24,81,5,9,15,16,32,215,42,30,77,6,11,15,4,61,19,13,20,8,10,5,2,48,100,25,41,38,10,9,3,24,0
Dermatologie et v�n�r�ologie,Mixtes,771,766,5,57,48,79,37,28,13,0,0,0,286,2,36,3,0,49,25,29,79,3,4,1,0,2,22,1,1,0,2,2,0,48,7,1,1,3,2,4,0,0,18,4,0,0,8,2,3,2,10,7,17,0,23,9,7,0,3,9,0,1,4,16,3,8,2,0,2,0,13,1,8,2,3,12,1,7,6,1,26,2,2,9,8,1,0,0,18,6,30,2,5,3,0,5,154,12,12,12,1,8,1,0,2,5,2,5,7,1,2,1,10,30,16,35,17,0,3,0,2,0
Dermatologie et v�n�r�ologie,Salari�s hospitaliers,508,490,18,31,44,53,21,18,21,0,2,6,151,4,41,6,0,36,21,23,30,0,0,3,0,0,8,0,0,1,2,2,0,20,6,3,0,3,0,0,0,0,5,2,0,4,13,2,1,1,7,4,17,0,17,13,8,0,12,5,0,2,0,3,0,12,8,0,0,0,5,0,4,0,1,10,0,1,4,0,22,3,2,5,6,5,1,1,3,7,26,1,2,2,3,2,78,12,4,4,2,6,2,0,2,0,3,3,8,1,0,0,5,10,17,26,7,2,6,6,4,0
Dermatologie et v�n�r�ologie,Autres salari�s,144,142,2,2,4,5,2,0,2,0,0,2,78,0,15,0,0,11,2,0,21,0,0,0,0,0,11,0,0,0,0,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,4,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,1,4,0,0,0,1,0,0,4,0,1,0,0,0,57,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1,5,7,4,3,0,0,2,0,0
Endocrinologie et m�tabolisme,Ensemble des modes d'exercice,1865,1828,37,121,146,219,57,66,52,7,9,0,473,20,228,8,0,152,64,70,173,8,12,6,4,8,48,3,4,5,6,11,7,84,18,3,2,9,4,8,3,4,15,10,0,5,15,16,4,8,20,25,79,5,51,58,20,3,16,37,6,5,5,18,2,27,16,4,9,0,22,7,23,2,5,16,2,16,16,3,82,12,4,32,17,18,7,11,28,22,79,3,10,8,9,21,215,31,21,37,8,14,13,3,15,14,8,15,16,2,0,5,28,57,40,47,28,9,8,0,20,0
Endocrinologie et m�tabolisme,Lib�raux exclusifs,548,531,17,29,52,53,15,15,21,7,4,0,121,9,77,4,0,26,14,20,81,3,1,1,2,3,29,0,0,2,3,4,4,32,3,2,0,2,0,4,3,4,3,1,0,2,5,5,0,1,6,7,23,0,23,20,7,2,9,8,0,1,2,1,0,11,7,1,3,0,4,1,2,0,0,5,0,1,1,2,15,2,1,5,3,10,2,5,13,5,22,0,3,3,3,5,42,9,7,14,0,3,7,2,10,5,2,6,1,0,0,2,8,23,10,9,8,4,4,0,9,0
Endocrinologie et m�tabolisme,Mixtes,292,286,6,17,17,43,9,6,6,0,1,0,91,3,35,2,0,13,11,6,32,3,3,0,1,1,8,0,2,1,0,1,0,19,5,0,0,3,1,1,0,0,4,0,0,0,0,3,1,3,0,3,14,3,5,10,2,0,0,9,1,0,0,4,0,3,2,0,1,0,2,0,3,0,1,1,0,4,4,1,5,1,0,3,2,1,0,2,6,1,19,1,1,0,0,3,49,5,1,11,0,1,0,1,0,3,0,2,4,0,0,1,4,8,6,6,6,1,2,0,3,0
Endocrinologie et m�tabolisme,Salari�s hospitaliers,945,931,14,72,74,113,32,43,22,0,4,0,227,8,103,2,0,107,39,43,56,2,8,5,1,3,10,3,2,2,3,5,3,31,10,1,2,4,2,3,0,0,8,8,0,3,9,8,3,4,14,14,38,2,22,25,11,0,7,19,5,3,2,12,2,13,7,3,5,0,15,6,18,1,4,10,2,10,11,0,56,9,3,24,10,7,3,3,8,15,33,2,6,5,6,12,106,17,12,12,8,10,5,0,5,6,6,6,11,2,0,2,16,19,22,29,11,4,2,0,8,0
Endocrinologie et m�tabolisme,Autres salari�s,80,80,0,3,3,10,1,2,3,0,0,0,34,0,13,0,0,6,0,1,4,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4,0,1,3,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,6,0,0,0,2,0,2,1,1,1,5,0,0,0,0,1,18,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,2,3,3,0,0,0,0,0
G�n�tique m�dicale,Ensemble des modes d'exercice,248,242,6,22,18,33,8,8,9,0,2,0,73,3,16,1,0,15,7,12,21,0,0,0,0,0,5,0,0,0,1,0,0,15,1,0,0,1,0,0,0,0,5,0,0,0,3,1,0,0,1,1,7,0,10,8,6,0,7,6,0,0,1,4,0,9,1,0,0,0,2,0,3,0,0,4,0,1,1,0,10,0,0,1,3,0,0,0,10,3,17,0,0,1,2,0,53,6,0,7,0,4,0,0,1,0,0,4,3,0,0,0,1,4,2,5,1,2,1,0,3,0
G�n�tique m�dicale,Lib�raux exclusifs,7,7,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
G�n�tique m�dicale,Mixtes,4,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
